Trajectory_ID,Samples,Duration_s,Mean_Remaining_Time_s,MAE_s,RMSE_s,R2
199,1594,1577.34999999963,788.564648682458,544.127420119378,579.465219024354,-0.614631785756632
200,2084,2066.75,1034.49255758154,258.033136671749,306.408175419026,0.736456599232274
205,2070,2051.22999999952,1026.1741400964,280.01717722599,334.272069314778,0.681578371405489
228,2464,2441.5,1219.97560064931,213.194721040567,260.478328356592,0.863570804840744
230,1545,1530.34000000032,764.533423948573,516.423875343941,533.596999579093,-0.453904962538877
242,2640,2616.78000000026,1308.57207575783,338.701921630451,398.622963053671,0.721664645497655
243,1986,1967.31999999983,984.044783484382,222.255739403886,277.411485154246,0.761730709191521
244,3071,3043.9700000002,1521.58927710854,484.142966940714,591.324251103468,0.547991468400673
247,2097,2079.06000000006,1039.73685741518,399.735698592003,495.033112131288,0.319635071206105
249,1512,1498.88000000035,749.862493386422,661.196556816266,721.891370167112,-1.78480017368879
250,2148,2128.25,1062.82674581008,144.399473682807,177.837896727545,0.916379838891413
258,2211,2190.96999999927,1094.43946178169,111.598551802734,141.287533320338,0.950165590120628
263,1332,1318.29999999981,659.163926425997,710.862547074214,763.511307499658,-3.01367207881262
266,2245,2224.2200000002,1111.71204899814,218.943293447427,269.10799198348,0.824504661915607
274,1827,1809.09999999963,903.4044772848,254.415198212168,318.418358050043,0.629197468213125
275,795,786.779999999795,393.19466666676,728.477426356033,774.808087303581,-10.5618307225969
282,1121,1110.79000000004,555.474603032771,565.939124165521,597.66437791381,-2.47277780017247
307,1652,1637.08000000007,818.044715496848,578.31184880386,655.555043135192,-0.922463608714812
315,3055,3024.86000000034,1511.80337152219,599.149718124422,700.689566085061,0.35717546205408
326,2148,2126.6400000006,1062.81898510264,391.205273890642,526.444193316903,0.266274834703196
360,2135,2116.3900000006,1058.09311475441,217.240087239659,275.774459370898,0.796737524428865
366,1293,1279.96999999974,639.805096674303,837.817103459811,850.737408354668,-4.27627951114933
368,2484,2460.87999999989,1230.35653784239,420.888669251392,485.91743408392,0.533027444755003
369,2219,2197.73999999929,1098.44518251446,297.891376016079,377.988765703932,0.64558621122951
385,1771,1754.87000000011,878.243444381954,310.919940964038,365.949075901754,0.478555867558979
392,1100,1091.37000000011,545.75732727284,600.814951628735,647.112768736336,-3.21339687750266
397,2842,2817.84999999963,1408.59575650941,650.1667593135,755.15690065935,0.139518439072808
403,2445,2420.64999999944,1209.46996318983,479.904704498782,544.849666722435,0.39307545877291
407,2240,2218.33999999985,1108.88234374999,278.179328238816,337.560153297899,0.722561529323443
410,1562,1546.31999999937,772.386190781192,282.580156497333,365.215731309807,0.332755482630876
413,1861,1844.50999999978,922.221316496227,192.834111662409,243.423648712552,0.791795965812202
414,1243,1230.91999999993,614.959919549013,787.173467307386,804.225678845588,-4.10180700873042
429,1279,1265.65999999922,632.47102423746,756.447467182533,776.448808035694,-3.49840330138271
